year,male,female
1954,13.3,2.4
1955,13.1,2.4
1956,13.1,2.3
1957,15.2,2.5
1958,14.5,2.4
1959,13.7,2.3
1960,13.7,2.5
1961,15.4,3
1962,16.5,3.3
1963,19.8,3.9
1964,25.6,5.1
1965,20.7,4.6
1966,18.7,4.5
1967,20.5,4.9
1968,22,5.2
1969,24.7,5.8
1970,27.3,6.5
1971,30.3,8
1972,33.5,9.3
1973,35.6,10.6
1974,38.1,11.6
1975,41,12.7
1976,40.9,13
1977,39.6,12.6
1978,40.8,12.5
1979,39.3,12.2
1980,39.3,12.3
1981,38.6,12.2
1982,37.9,12.2
1983,36.1,12.2
1984,36.4,12.7
1985,38.6,13.7
1986,34.2,12.5
1987,35.3,13.6
1988,35.3,14.4
1989,34.1,14.7
1990,33.4,15.2
1991,34.5,16.1
1992,35.2,17.3
1993,36.6,19
1994,38.9,21
1995,40.7,22.9
1996,41.9,24.6
1997,43.4,26
1998,44.9,27.5
1999,46.5,29.4
2000,47.5,31.5
2001,46.9,32.7
2002,47,33.8
2003,47.8,34.4
2004,49.3,35.2
2005,51.3,36.8
2006,52.1,38.5
2007,53.5,40.6
2008,55.2,42.6
2009,55.9,44.2
2010,56.4,45.2
2011,56,45.8
2012,55.6,45.8
2013,54,45.6
2014,55.9,47
2015,55.4,47.4
2016,55.6,48.2
2017,55.9,49.1
2018,56.3,50.1
2019,56.6,50.7
2020,57.7,50.9
